date,open,high,low,close,volume,short_ma,long_ma,rolling_vol_20
2025-06-02,100.45,100.55,99.29,100.03,141014,,,
2025-06-03,100.2,100.99,99.1,100.42,301903,,,
2025-06-04,100.4,100.79,99.11,100.12,62537,,,
2025-06-05,99.95,100.44,98.75,99.08,284783,,,
2025-06-06,98.89,99.0,97.94,98.57,428918,99.644,,
2025-06-09,99.05,99.34,96.97,97.41,476545,99.12,,
2025-06-10,97.56,97.78,97.08,97.51,406425,98.538,,
2025-06-11,97.53,99.29,96.66,99.15,177818,98.34400000000001,,
2025-06-12,99.04,99.32,98.58,98.59,218989,98.246,,
2025-06-13,98.25,98.55,97.16,97.87,499743,98.106,,
2025-06-16,97.85,99.16,97.47,98.49,405910,98.322,,
2025-06-17,98.75,99.46,97.93,98.95,460390,98.61,,
2025-06-18,98.83,99.32,98.37,99.1,160826,98.6,,
2025-06-19,99.04,99.43,97.82,98.02,213756,98.486,,
2025-06-20,97.95,98.64,97.47,98.01,421160,98.514,,
2025-06-23,98.05,99.31,97.42,98.88,197257,98.592,,
2025-06-24,98.4,98.76,96.88,97.29,389491,98.26,,
2025-06-25,97.22,97.79,96.23,96.78,106953,97.796,,
2025-06-26,96.52,97.12,94.28,94.52,78190,97.096,,
2025-06-27,94.79,95.7,92.77,93.01,462038,96.096,98.09,1.7801123560045273
2025-06-30,92.77,93.52,90.16,90.83,186376,94.486,97.63000000000001,2.3499070530331023
2025-07-01,91.0,91.49,89.96,90.57,133614,93.142,97.1375,2.735031751956548
2025-07-02,91.03,91.52,88.64,89.08,164671,91.602,96.5855,3.1793866919332205
2025-07-03,88.99,90.07,88.57,89.44,54040,90.58599999999998,96.1035,3.4962435104280813
2025-07-04,89.26,89.89,88.55,89.66,392135,89.916,95.65799999999999,3.7255612081657463
2025-07-07,89.71,90.1,89.2,89.46,450534,89.642,95.26050000000001,3.9463633825800115
2025-07-08,89.46,90.13,86.28,86.47,57584,88.822,94.70849999999999,4.365055344196067
2025-07-09,86.17,87.16,85.51,85.86,319151,88.178,94.04400000000001,4.65526459194883
2025-07-10,85.99,86.35,85.07,85.83,214104,87.456,93.40599999999999,4.868919041386784
2025-07-11,86.43,86.82,85.98,85.99,352331,86.72200000000001,92.812,5.018041765260086
2025-07-14,85.92,86.38,83.43,84.19,365365,85.668,92.09700000000001,5.182505084162311
2025-07-15,84.13,84.93,83.44,83.64,379913,85.102,91.33149999999999,5.247286291127286
2025-07-16,83.33,83.72,82.43,82.5,70643,84.42999999999999,90.5015,5.266648065145888
2025-07-17,82.6,83.44,80.78,81.56,69197,83.576,89.6785,5.31576629619748
2025-07-18,81.19,82.97,80.81,82.86,475343,82.95,88.921,5.142659459442069
2025-07-21,82.53,82.87,81.91,81.92,91334,82.49600000000001,88.07300000000001,4.800998909218292
2025-07-22,82.31,82.65,81.62,81.91,278135,82.15,87.304,4.467098905506605
2025-07-23,81.64,83.64,80.96,83.01,274926,82.252,86.6155,3.962373657291713
2025-07-24,83.33,84.04,81.58,82.34,220520,82.40799999999999,86.0065,3.6032796099342166
2025-07-25,82.79,82.85,81.96,82.23,72617,82.282,85.4675,3.2934654201438667
2025-07-28,82.31,82.52,81.79,82.39,125291,82.376,85.04549999999999,3.1055493199990463
2025-07-29,82.56,83.06,81.89,82.5,276944,82.494,84.642,2.8649195818601005
2025-07-30,83.09,83.29,80.85,81.06,99435,82.104,84.241,2.770772075565931
2025-07-31,81.0,81.24,80.49,81.18,381352,81.872,83.828,2.5628429937328114
2025-08-01,81.0,83.55,80.61,82.84,437067,81.994,83.48700000000001,2.1695672622120217
2025-08-04,82.44,82.98,80.78,81.02,345834,81.72,83.06500000000001,1.7210935935891776
2025-08-05,81.03,82.62,80.78,82.08,423379,81.63600000000001,82.8455,1.5337208797043413
2025-08-06,82.52,82.78,81.83,82.25,327491,81.874,82.66499999999999,1.363229524636641
2025-08-07,82.54,83.25,81.1,81.51,361686,81.94000000000001,82.449,1.1628725775328361
2025-08-08,81.23,84.27,81.0,83.94,70882,82.16,82.3465,0.8934691406322129
2025-08-11,83.68,85.61,83.41,84.89,295438,82.934,82.38149999999999,0.979093431377891
2025-08-12,84.73,84.86,82.74,83.48,156494,83.21400000000001,82.3735,0.9688695257327726
2025-08-13,83.56,83.74,83.1,83.6,133412,83.48400000000001,82.42850000000001,1.0069039310255503
2025-08-14,83.53,84.78,82.87,84.32,453872,84.04599999999999,82.5665,1.0688374156304425
2025-08-15,84.38,84.57,83.36,84.12,422127,84.082,82.6295,1.1228182352779204
2025-08-18,84.21,85.57,83.63,84.97,105449,84.098,82.782,1.2239521834481026
2025-08-19,84.88,85.4,83.8,84.92,493928,84.386,82.9325,1.2941319992867513
2025-08-20,84.91,85.87,84.76,85.75,289950,84.816,83.0695,1.4396215694261083
2025-08-21,85.81,87.93,85.17,87.51,329501,85.45400000000001,83.328,1.7354981083854737
2025-08-22,87.48,87.78,86.42,86.73,72521,85.976,83.553,1.8719904970516512
2025-08-25,86.88,87.68,85.92,87.0,447691,86.38199999999999,83.7835,2.0006479871332012
2025-08-26,87.56,87.77,85.56,86.47,472641,86.69200000000001,83.982,2.0625880523466873
2025-08-27,86.65,86.93,86.47,86.66,395340,86.874,84.262,2.0248030443527485
2025-08-28,86.67,87.44,85.15,85.26,127203,86.424,84.466,1.8996077157358913
2025-08-29,84.76,85.83,84.0,84.6,286786,85.99799999999999,84.554,1.8606857818950766
2025-09-01,84.71,85.71,83.76,84.39,234509,85.476,84.7225,1.6662402524685633
2025-09-02,83.81,85.92,83.19,85.5,226434,85.282,84.89349999999999,1.552377717872333
2025-09-03,85.08,87.37,84.7,86.91,296051,85.33200000000001,85.1265,1.4828857889793998
2025-09-04,87.16,88.02,84.81,85.35,371696,85.35,85.3185,1.2142499309186805
2025-09-05,85.56,85.92,83.83,84.42,373393,85.314,85.3425,1.1900724215022516
2025-09-08,84.38,85.34,84.0,85.23,158815,85.482,85.3595,1.1856886739689003
2025-09-09,84.72,85.15,82.16,82.87,471853,84.95599999999999,85.329,1.2430391449140508
2025-09-10,82.76,83.29,82.07,82.34,246778,84.042,85.26599999999999,1.3615602505172695
2025-09-11,82.14,82.41,81.55,82.26,381363,83.424,85.163,1.5070364784462222
2025-09-12,82.45,83.89,82.36,83.79,440178,83.298,85.1465,1.5208006028679035
2025-09-15,84.47,84.68,83.78,84.65,206315,83.182,85.13050000000001,1.5244342350004056
2025-09-16,84.72,85.32,83.96,84.29,435914,83.46600000000001,85.099,1.5354817519350334
2025-09-17,84.06,84.23,83.74,83.88,83902,83.774,85.0055,1.550614394360879
2025-09-18,83.53,83.96,83.01,83.61,184329,84.04400000000001,84.8105,1.4617598441961654
2025-09-19,83.59,85.93,83.46,85.46,368332,84.37800000000001,84.747,1.4002785437187582
2025-09-22,85.41,86.0,84.86,84.98,389599,84.444,84.646,1.2983609100056477
2025-09-23,84.64,84.95,84.57,84.65,487629,84.51599999999999,84.55499999999999,1.2255288869017666
2025-09-24,84.68,85.65,84.29,85.1,239797,84.75999999999999,84.477,1.1304591521748755
2025-09-25,84.75,85.12,84.21,84.99,57657,85.03599999999999,84.46350000000001,1.1221983828741735
2025-09-26,85.32,85.61,84.07,84.78,249850,84.9,84.4725,1.1240709614232034
2025-09-29,85.1,85.19,83.11,83.47,398605,84.59799999999998,84.4265,1.1462307795549247
2025-09-30,83.8,84.54,82.77,83.49,102040,84.366,84.326,1.135218040730097
2025-10-01,83.35,83.74,82.58,82.99,129263,83.944,84.13,0.9953893710498735
2025-10-02,83.14,84.59,82.77,84.41,235964,83.828,84.083,0.9561716428159615
2025-10-03,84.37,85.52,83.8,85.23,256979,83.91799999999999,84.1235,0.9878273607953494
2025-10-06,85.11,85.56,84.39,85.23,246868,84.27000000000001,84.1235,0.9878273607953494
2025-10-07,85.13,86.67,84.83,86.06,285186,84.784,84.28299999999999,1.0313562863883492
2025-10-08,85.67,85.76,85.34,85.68,325865,85.322,84.45,0.9686887501854993
2025-10-09,85.25,87.06,84.9,86.98,326491,85.83600000000001,84.686,0.9819336455227807
2025-10-10,87.21,87.5,86.57,87.0,235004,86.19000000000001,84.8465,1.084732685964219
2025-10-13,86.94,88.89,86.81,87.73,495291,86.69,85.0005,1.259864132189704
2025-10-14,87.79,88.48,85.5,86.21,270195,86.72,85.0965,1.2759239170516563
2025-10-15,86.51,87.02,86.23,86.66,359330,86.916,85.2355,1.2877948308309755
2025-10-16,86.14,86.75,84.12,84.66,349670,86.452,85.288,1.238499091642459
2025-10-17,84.43,85.44,82.1,82.25,226574,85.502,85.1275,1.411016337702134
2025-10-20,82.3,82.63,81.41,81.91,338370,84.338,84.974,1.5842594152271956
2025-10-21,82.03,82.32,80.35,80.86,371759,83.268,84.78450000000001,1.8323050625112687
2025-10-22,80.75,81.85,80.48,81.09,266639,82.154,84.58399999999999,2.0070307998578625
2025-10-23,81.4,84.36,80.39,83.81,260029,81.98400000000001,84.525,2.011805944392718
2025-10-24,83.88,84.48,82.33,82.85,318905,82.104,84.4285,2.044945694813428
2025-10-27,82.48,82.73,81.19,82.13,235903,82.148,84.36149999999999,2.0992336320915754
2025-10-28,81.85,83.38,81.16,82.4,390905,82.45599999999999,84.30699999999999,2.13686218554195
2025-10-29,82.65,83.94,82.44,83.02,214543,82.84200000000001,84.30850000000001,2.135899354518068
2025-10-30,83.16,83.73,82.56,82.84,92370,82.648,84.22999999999999,2.1606797176130423
2025-10-31,82.27,83.23,81.74,82.63,272032,82.604,84.1,2.1755120389411893
2025-11-03,83.03,83.71,82.61,83.5,456014,82.878,84.0135,2.1625722379170647
2025-11-04,83.68,84.74,83.26,84.15,176531,83.228,83.918,2.1089498509171096
2025-11-05,84.56,84.9,82.63,82.94,189858,83.21200000000002,83.78099999999999,2.0772220822402327
2025-11-06,82.83,83.41,82.68,82.88,158945,83.22,83.576,1.9428665745014142
2025-11-07,82.79,83.55,82.46,82.95,468029,83.284,83.3735,1.7706355534544524
2025-11-10,82.61,82.91,81.45,81.71,116809,82.926,83.07249999999999,1.47869029887906
2025-11-11,82.48,82.58,81.54,82.06,249262,82.50800000000001,82.865,1.2950127006079433
2025-11-12,82.0,82.51,80.87,81.06,248101,82.132,82.58500000000001,1.0039946529523551
2025-11-13,81.53,82.43,81.35,82.25,303830,82.006,82.4645,0.878644140886861
2025-11-14,82.06,82.82,81.72,82.51,181967,81.91799999999999,82.47749999999999,0.877225740615847
2025-11-17,82.56,82.87,82.08,82.65,393360,82.10600000000001,82.5145,0.8675826974076468
2025-11-18,82.15,82.45,81.94,81.97,426623,82.088,82.57000000000001,0.7880288533316767
2025-11-19,81.86,82.15,81.73,81.86,246152,82.248,82.6085,0.728475517053523
2025-11-20,82.16,82.92,79.41,79.49,431552,81.696,82.3925,0.9578258000058846
2025-11-21,79.12,79.59,77.95,78.17,104526,80.828,82.1585,1.3368512691352308
2025-11-24,78.49,79.36,78.38,78.63,204744,80.024,81.9835,1.5524726457456397
2025-11-25,78.73,79.73,75.23,76.11,448498,78.852,81.66900000000001,2.0279569703726894
2025-11-26,75.79,77.56,75.71,77.15,328613,77.91,81.3755,2.2362197307530978
2025-11-27,77.0,77.14,74.49,75.09,127038,77.03,80.98800000000001,2.6094213918029574
2025-11-28,74.95,76.16,74.94,76.03,456030,76.602,80.658,2.8011287198666905
2025-12-01,76.01,76.05,74.55,75.04,444880,75.88399999999999,80.235,2.9822854182301644
2025-12-02,74.88,76.25,74.58,76.01,211622,75.864,79.828,2.9753099794278484
2025-12-03,75.76,76.62,75.37,76.19,134282,75.672,79.49050000000001,2.986542579463091
2025-12-04,76.1,76.3,73.81,74.38,299622,75.53,79.0655,3.0820814480850762
2025-12-05,74.07,76.41,73.14,75.91,313710,75.506,78.7135,3.016403007766324
