date,open,high,low,close,volume
2025-06-02,100.45,100.55,99.29,100.03,141014
2025-06-03,100.2,100.99,99.1,100.42,301903
2025-06-04,100.4,100.79,99.11,100.12,62537
2025-06-05,99.95,100.44,98.75,99.08,284783
2025-06-06,98.89,99.0,97.94,98.57,428918
2025-06-09,99.05,99.34,96.97,97.41,476545
2025-06-10,97.56,97.78,97.08,97.51,406425
2025-06-11,97.53,99.29,96.66,99.15,177818
2025-06-12,99.04,99.32,98.58,98.59,218989
2025-06-13,98.25,98.55,97.16,97.87,499743
2025-06-16,97.85,99.16,97.47,98.49,405910
2025-06-17,98.75,99.46,97.93,98.95,460390
2025-06-18,98.83,99.32,98.37,99.1,160826
2025-06-19,99.04,99.43,97.82,98.02,213756
2025-06-20,97.95,98.64,97.47,98.01,421160
2025-06-23,98.05,99.31,97.42,98.88,197257
2025-06-24,98.4,98.76,96.88,97.29,389491
2025-06-25,97.22,97.79,96.23,96.78,106953
2025-06-26,96.52,97.12,94.28,94.52,78190
2025-06-27,94.79,95.7,92.77,93.01,462038
2025-06-30,92.77,93.52,90.16,90.83,186376
2025-07-01,91.0,91.49,89.96,90.57,133614
2025-07-02,91.03,91.52,88.64,89.08,164671
2025-07-03,88.99,90.07,88.57,89.44,54040
2025-07-04,89.26,89.89,88.55,89.66,392135
2025-07-07,89.71,90.1,89.2,89.46,450534
2025-07-08,89.46,90.13,86.28,86.47,57584
2025-07-09,86.17,87.16,85.51,85.86,319151
2025-07-10,85.99,86.35,85.07,85.83,214104
2025-07-11,86.43,86.82,85.98,85.99,352331
2025-07-14,85.92,86.38,83.43,84.19,365365
2025-07-15,84.13,84.93,83.44,83.64,379913
2025-07-16,83.33,83.72,82.43,82.5,70643
2025-07-17,82.6,83.44,80.78,81.56,69197
2025-07-18,81.19,82.97,80.81,82.86,475343
2025-07-21,82.53,82.87,81.91,81.92,91334
2025-07-22,82.31,82.65,81.62,81.91,278135
2025-07-23,81.64,83.64,80.96,83.01,274926
2025-07-24,83.33,84.04,81.58,82.34,220520
2025-07-25,82.79,82.85,81.96,82.23,72617
2025-07-28,82.31,82.52,81.79,82.39,125291
2025-07-29,82.56,83.06,81.89,82.5,276944
2025-07-30,83.09,83.29,80.85,81.06,99435
2025-07-31,81.0,81.24,80.49,81.18,381352
2025-08-01,81.0,83.55,80.61,82.84,437067
2025-08-04,82.44,82.98,80.78,81.02,345834
2025-08-05,81.03,82.62,80.78,82.08,423379
2025-08-06,82.52,82.78,81.83,82.25,327491
2025-08-07,82.54,83.25,81.1,81.51,361686
2025-08-08,81.23,84.27,81.0,83.94,70882
2025-08-11,83.68,85.61,83.41,84.89,295438
2025-08-12,84.73,84.86,82.74,83.48,156494
2025-08-13,83.56,83.74,83.1,83.6,133412
2025-08-14,83.53,84.78,82.87,84.32,453872
2025-08-15,84.38,84.57,83.36,84.12,422127
2025-08-18,84.21,85.57,83.63,84.97,105449
2025-08-19,84.88,85.4,83.8,84.92,493928
2025-08-20,84.91,85.87,84.76,85.75,289950
2025-08-21,85.81,87.93,85.17,87.51,329501
2025-08-22,87.48,87.78,86.42,86.73,72521
2025-08-25,86.88,87.68,85.92,87.0,447691
2025-08-26,87.56,87.77,85.56,86.47,472641
2025-08-27,86.65,86.93,86.47,86.66,395340
2025-08-28,86.67,87.44,85.15,85.26,127203
2025-08-29,84.76,85.83,84.0,84.6,286786
2025-09-01,84.71,85.71,83.76,84.39,234509
2025-09-02,83.81,85.92,83.19,85.5,226434
2025-09-03,85.08,87.37,84.7,86.91,296051
2025-09-04,87.16,88.02,84.81,85.35,371696
2025-09-05,85.56,85.92,83.83,84.42,373393
2025-09-08,84.38,85.34,84.0,85.23,158815
2025-09-09,84.72,85.15,82.16,82.87,471853
2025-09-10,82.76,83.29,82.07,82.34,246778
2025-09-11,82.14,82.41,81.55,82.26,381363
2025-09-12,82.45,83.89,82.36,83.79,440178
2025-09-15,84.47,84.68,83.78,84.65,206315
2025-09-16,84.72,85.32,83.96,84.29,435914
2025-09-17,84.06,84.23,83.74,83.88,83902
2025-09-18,83.53,83.96,83.01,83.61,184329
2025-09-19,83.59,85.93,83.46,85.46,368332
2025-09-22,85.41,86.0,84.86,84.98,389599
2025-09-23,84.64,84.95,84.57,84.65,487629
2025-09-24,84.68,85.65,84.29,85.1,239797
2025-09-25,84.75,85.12,84.21,84.99,57657
2025-09-26,85.32,85.61,84.07,84.78,249850
2025-09-29,85.1,85.19,83.11,83.47,398605
2025-09-30,83.8,84.54,82.77,83.49,102040
2025-10-01,83.35,83.74,82.58,82.99,129263
2025-10-02,83.14,84.59,82.77,84.41,235964
2025-10-03,84.37,85.52,83.8,85.23,256979
2025-10-06,85.11,85.56,84.39,85.23,246868
2025-10-07,85.13,86.67,84.83,86.06,285186
2025-10-08,85.67,85.76,85.34,85.68,325865
2025-10-09,85.25,87.06,84.9,86.98,326491
2025-10-10,87.21,87.5,86.57,87.0,235004
2025-10-13,86.94,88.89,86.81,87.73,495291
2025-10-14,87.79,88.48,85.5,86.21,270195
2025-10-15,86.51,87.02,86.23,86.66,359330
2025-10-16,86.14,86.75,84.12,84.66,349670
2025-10-17,84.43,85.44,82.1,82.25,226574
2025-10-20,82.3,82.63,81.41,81.91,338370
2025-10-21,82.03,82.32,80.35,80.86,371759
2025-10-22,80.75,81.85,80.48,81.09,266639
2025-10-23,81.4,84.36,80.39,83.81,260029
2025-10-24,83.88,84.48,82.33,82.85,318905
2025-10-27,82.48,82.73,81.19,82.13,235903
2025-10-28,81.85,83.38,81.16,82.4,390905
2025-10-29,82.65,83.94,82.44,83.02,214543
2025-10-30,83.16,83.73,82.56,82.84,92370
2025-10-31,82.27,83.23,81.74,82.63,272032
2025-11-03,83.03,83.71,82.61,83.5,456014
2025-11-04,83.68,84.74,83.26,84.15,176531
2025-11-05,84.56,84.9,82.63,82.94,189858
2025-11-06,82.83,83.41,82.68,82.88,158945
2025-11-07,82.79,83.55,82.46,82.95,468029
2025-11-10,82.61,82.91,81.45,81.71,116809
2025-11-11,82.48,82.58,81.54,82.06,249262
2025-11-12,82.0,82.51,80.87,81.06,248101
2025-11-13,81.53,82.43,81.35,82.25,303830
2025-11-14,82.06,82.82,81.72,82.51,181967
2025-11-17,82.56,82.87,82.08,82.65,393360
2025-11-18,82.15,82.45,81.94,81.97,426623
2025-11-19,81.86,82.15,81.73,81.86,246152
2025-11-20,82.16,82.92,79.41,79.49,431552
2025-11-21,79.12,79.59,77.95,78.17,104526
2025-11-24,78.49,79.36,78.38,78.63,204744
2025-11-25,78.73,79.73,75.23,76.11,448498
2025-11-26,75.79,77.56,75.71,77.15,328613
2025-11-27,77.0,77.14,74.49,75.09,127038
2025-11-28,74.95,76.16,74.94,76.03,456030
2025-12-01,76.01,76.05,74.55,75.04,444880
2025-12-02,74.88,76.25,74.58,76.01,211622
2025-12-03,75.76,76.62,75.37,76.19,134282
2025-12-04,76.1,76.3,73.81,74.38,299622
2025-12-05,74.07,76.41,73.14,75.91,313710
2025-12-08,75.52,77.72,75.06,77.67,249601
2025-12-09,77.65,78.14,77.18,77.62,370582
2025-12-10,77.88,78.25,77.21,77.32,342619
2025-12-11,76.86,77.46,76.29,77.16,403484
2025-12-12,77.16,77.54,75.69,76.02,481896
2025-12-15,75.82,77.6,75.17,77.37,388743
2025-12-16,77.07,77.29,76.36,76.74,112380
2025-12-17,77.0,77.11,75.79,76.71,53427
2025-12-18,76.56,76.95,75.6,75.79,484423
2025-12-19,76.24,77.19,74.76,75.07,413112
2025-12-22,74.84,75.83,72.9,73.57,349580
2025-12-23,73.68,75.9,73.39,75.1,163828
2025-12-24,75.04,75.65,74.79,74.95,408141
2025-12-25,74.72,76.34,74.4,76.14,99097
2025-12-26,76.32,77.15,76.17,76.19,335804
2025-12-29,76.14,76.52,74.95,75.38,219440
2025-12-30,75.56,75.94,73.89,75.02,441642
2025-12-31,75.01,75.32,73.63,74.38,356832
2026-01-01,74.05,74.84,73.98,74.42,196807
2026-01-02,74.39,74.66,73.86,74.0,405688
2026-01-05,74.01,74.39,73.39,73.67,368621
2026-01-06,73.95,74.03,71.34,72.04,163279
2026-01-07,71.77,72.06,70.95,71.1,168850
2026-01-08,71.09,74.2,70.9,73.12,223999
2026-01-09,72.6,72.98,71.68,72.34,278895
2026-01-12,72.54,72.87,70.45,71.11,174540
2026-01-13,70.78,72.1,70.5,71.54,356670
2026-01-14,71.0,73.87,70.94,73.26,285967
2026-01-15,73.24,73.31,71.48,71.55,140505
2026-01-16,71.88,72.22,71.14,71.33,366152
2026-01-19,70.87,71.55,70.33,70.6,77521
2026-01-20,70.27,70.75,67.89,68.52,468160
2026-01-21,68.29,69.86,68.08,69.43,405926
2026-01-22,69.09,70.3,68.54,69.43,90765
2026-01-23,69.54,69.74,68.58,69.55,414025
2026-01-26,69.3,69.73,67.92,68.67,199596
2026-01-27,68.46,69.49,68.4,69.25,349549
2026-01-28,69.42,70.27,67.97,68.63,156195
2026-01-29,68.4,68.67,67.66,68.49,194644
2026-01-30,68.62,68.82,67.01,67.19,56645
2026-02-02,66.9,67.14,65.65,65.76,346177
2026-02-03,65.4,67.99,65.03,67.39,315289
2026-02-04,66.84,67.42,66.73,66.81,87746
2026-02-05,67.37,68.19,66.35,67.19,174185
2026-02-06,67.1,67.26,66.78,67.18,348129
2026-02-09,67.26,67.88,66.62,66.68,409178
2026-02-10,66.68,66.99,65.79,66.1,309289
2026-02-11,66.15,67.09,65.82,66.89,123971
2026-02-12,66.91,67.47,66.11,66.56,327741
2026-02-13,67.13,67.26,65.93,66.41,150536
2026-02-16,66.1,66.69,65.76,66.46,251142
2026-02-17,66.0,68.19,65.26,67.91,265625
2026-02-18,67.6,68.8,67.36,68.75,151321
2026-02-19,68.35,69.45,67.95,69.24,416252
2026-02-20,69.47,69.98,68.41,68.59,376644
2026-02-23,68.84,69.33,66.53,66.97,99321
2026-02-24,66.68,69.01,66.21,68.14,258858
2026-02-25,67.72,69.67,67.59,69.33,101493
2026-02-26,69.22,69.28,68.98,69.19,385420
2026-02-27,69.6,70.04,68.97,69.87,223274
2026-03-02,69.02,70.96,68.52,70.83,213881
2026-03-03,70.99,71.9,70.8,71.86,160836
2026-03-04,71.54,73.53,70.53,73.0,89505
2026-03-05,73.31,73.52,71.39,72.48,110435
2026-03-06,72.16,74.52,72.12,74.33,294105
2026-03-09,74.24,74.85,72.37,72.86,376496
2026-03-10,72.41,74.29,71.26,73.93,330242
2026-03-11,73.63,75.06,73.0,74.55,151692
2026-03-12,74.97,76.06,74.5,75.63,464799
2026-03-13,75.87,78.5,75.54,77.91,343020
2026-03-16,77.79,80.14,77.56,79.72,449489
2026-03-17,79.46,80.23,78.04,78.38,52125
2026-03-18,77.81,78.34,76.15,76.38,75717
2026-03-19,76.27,77.91,75.64,77.39,76919
2026-03-20,77.38,77.91,75.93,76.21,397328
2026-03-23,76.18,76.26,75.91,76.22,215001
2026-03-24,76.19,77.61,76.15,77.26,167613
2026-03-25,76.92,77.24,74.93,75.32,317955
2026-03-26,75.3,75.76,72.68,72.81,363739
2026-03-27,72.8,73.16,72.46,73.16,251511
2026-03-30,73.54,74.43,72.53,73.24,220766
2026-03-31,73.8,74.23,72.46,72.97,224568
2026-04-01,72.93,73.09,72.38,73.05,194935
2026-04-02,72.82,72.93,71.54,72.05,220948
2026-04-03,72.03,72.34,69.84,70.26,269727
2026-04-06,70.08,70.46,69.72,70.09,196767
2026-04-07,69.87,70.05,68.65,68.96,288739
2026-04-08,68.94,69.37,66.39,67.01,341355
2026-04-09,66.7,67.86,66.63,67.65,362517
2026-04-10,67.83,68.4,66.8,67.61,54137
2026-04-13,67.58,68.31,67.16,68.12,337047
2026-04-14,68.2,68.59,66.79,66.97,192654
