ref,direction,qty,avg_fill,shortfall_bps,cost,notional
119.58,-1.0,0.1,125.7044,-512.38,-1.0,13.0
121.15,-1.0,17.7,123.3981,-185.48,-40.0,2147.0
104.66,-1.0,28.6,107.3713,-258.78,-78.0,2998.0
102.88,-1.0,28.7,109.5197,-645.2,-191.0,2957.0
122.62,-1.0,24529.8,121.8901,59.23,17814.0,3007749.0
118.03,1.0,27164.6,119.3062,108.17,34683.0,3206221.0
118.03,-1.0,27762.9,117.0857,79.96,26200.0,3276841.0
106.47,1.0,71224.0,109.3631,271.44,205841.0,7583444.0
106.47,-1.0,72764.8,107.3691,-84.15,-65198.0,7747489.0
112.55,1.0,99087.6,115.5341,264.71,295222.0,11152775.0
112.55,-1.0,102681.4,111.8254,64.79,74884.0,11557276.0
121.15,1.0,132730.3,122.7545,132.35,212830.0,16080413.0
115.98,-1.0,135915.8,112.9436,261.44,412101.0,15762920.0
121.94,-1.0,136614.4,119.6068,191.17,318466.0,16658476.0
119.58,1.0,136614.5,121.0252,121.06,197769.0,16336028.0
102.88,1.0,139538.3,107.3588,435.16,624713.0,14355959.0
116.6,-1.0,142218.2,116.6057,-0.68,-1130.0,16582330.0
104.66,1.0,144385.9,106.0207,129.74,196056.0,15111846.0
